start	end	text
0	3400	Hello everyone, so as you may be aware a while back
3400	8240	I made a few videos about the YouTube channel CinemaSins laying out various mistakes
8240	15840	They've made and criticizing their general approach to movie criticism. A response to those videos has been uniformly positive
16520	23040	YouTube users are still leaving me plenty of supportive messages on those videos. For example, Patrick Harris says
23380	26480	Thanks for the video. Like many CinemaSins viewers
26480	31720	I had previously not understood the word satire, but after watching your videos
31720	38140	I now realize that I was using it incorrectly and CinemaSins is not in fact satirical.
38360	40760	Another commenter says keep up the good work
40760	48440	I can't believe CinemaSins conditioned me into laughing at their repetitive unfunny jokes. A humorous intent is no defense
48440	53080	if the joke unfairly denigrates other people's hard work through deception and
53760	55280	falsehood and
55280	57840	John Doe says oh I get it
58200	65360	CinemaSins watches movies and finds things in them to nitpick and you did the same thing to their videos. That's very clever
66320	68320	Although I'm not a fan of yours
68640	76000	Attaching my ego to a clickbait YouTube channel would be ridiculous and thus I will not get mad at you and leave you a nasty message
76440	84520	Anyway, after making those videos I did the sensible thing and stopped watching CinemaSins entirely for more than a year and it was wonderful
84560	89280	I've never known such peace to be honest. It's been the best year of my life so far
91600	92800	However
92800	95300	Recently a friend linked me to this video
96000	103200	Everything wrong with Blade Runner in 17 minutes or less put out by CinemaSins to coincide with the release of the recent
103440	106320	Blade Runner sequel and I thought oh
107080	111440	Go on then, you know, I can handle just one. It's been a while
111640	115960	Maybe they aren't as bad as I remember. Maybe I was exaggerating back then
115960	119760	So I gave it a watch and I saw this
120600	124820	CinemaSins gave Blade Runner a sin for being quote
125680	130360	Super advanced and super dilapidated all at the same time
131360	134480	You know like it's a mistake. Oh
135400	140720	God I'm even getting mad looking at it right now now Blade Runner is of course a
141240	147520	Cyberpunk film and the juxtaposition of advanced technology and societal problems like inequality
147920	154240	Is by design, you know rather than technology leading to a utopian post scarcity future
154640	160320	Films and other works of art in the sub-genre typically ask what if technology keeps advancing?
160320	163800	But we're unable to solve our various societal problems
163800	170180	You know, what if we still have things like inequality class divides crime police?
170800	172200	Slavery and all that, you know
172200	178480	how will the advance of technology interact with and even possibly exacerbate those problems a
178760	183720	Blade Runner being set in the future that is super advanced and super dilapidated at the same time
184120	186760	It's the whole point a point that is
187160	191880	Completely missed by CinemaSins who give the movie a sin and ding it as if it were a mistake
192240	195240	Akin to the boom mic showing in the shot or something
195460	198480	Anyway after thinking about this sin for about four seconds
198480	203080	I realized I was gonna have to make another CinemaSins video, but then I thought
203780	205780	Skipping all the way to the present day
205960	207960	Wouldn't really be right would it?
207960	214220	CinemaSins have put out over a hundred videos in the past year and I bet they've made some really gratuitous mistakes in those
214660	221560	So that's what we're gonna do today pick up where we left off with CinemaSins and catalog just a portion of everything
221560	223440	They've got wrong in the past year
223440	230980	Let's show them how to nitpick properly and let's start off with a sin from their video on the movie 10 Cloverfield Lane
231100	234860	You're the only one small enough to reach it. It's what the filtration system
234860	240180	This guy is the king of over preparedness for disasters and did not know this girl or anyone other than him would be down here
240180	245060	When he built this shelter, but still made the air filtration system accessible to only people one-fifth his size
245360	252580	So why would John Goodman's character build an air filtration system that he was unable to access what a buffoon he is
253220	256040	But let's take a peek at the movie real quick
258780	260780	Your filtration system
260780	262780	Ah
265840	271820	You see he could reach it but something was blocking the hatch and why would something be blocking the hatch
271860	274460	well a minute earlier in the movie a
274760	282040	Then unknown force caused the bunker to shake and that damaged the air filtration system and blocked the hatch to it
282380	289560	Also here when CinemaSins say that John Goodman's character Howard didn't know that anyone else would be down here with him
289640	295300	And that's not true either as there are various clues in the bunker pointing to the fact that Howard had
295600	301280	Previously kept someone else there such as the word help scratched into the glass on the inside of the exit hatch
301280	307200	I also like this sin from later in the video where CinemaSins call a Molotov cocktail a
307920	310660	makeshift Molotov cocktail, you know as
311280	316340	Opposed to the official line of Molotov cocktails that you'd buy in the store
316340	322940	I guess in their video for the rock CinemaSins call these helicopters Blackhawk helicopters
322940	329500	But they're not this is a Blackhawk helicopter, which as you can see doesn't really look anything like what they showed
329980	332900	You know beyond being a helicopter
332900	337100	Let's take a look at a sin from Star Trek 3 the search for Spock
337100	343940	There are your life forms these were microbes on the tube surface microbes by their very definition are microscopic living organisms
343940	347460	I hate to be nitpicky, but these seem way more visible without a microscope than usual
347820	351740	Well, I love to be nitpicky and the line was they were
352260	358220	Microbes in the past tense implying that they are no longer microbes and indeed if we look at the movie
358220	361620	These were microbes on the tube surface. We shot them here from Enterprise
361620	375140	Let's take a look at a sin from their video for the movie The Bourne Supremacy now from near the end of the movie
375140	378200	Somehow with all these witnesses Bourne still escapes into the ether after this
378260	381960	So a lot of witnesses saw Bourne after his car crash in the tunnel
381960	387380	So how did he possibly escape and you might be wondering well, what's wrong with this?
387620	393940	Well, let's now watch us in from the start of their video for the next movie in the series The Bourne Ultimatum
393940	396740	Which continues the story after this car crash?
396780	400940	So the Moscow police are coming after Bourne because of that tunnel chase scene from the last movie
400940	402860	How the fuck did Bourne get spotted in the first place?
402860	407300	And how is he identified by anyone in that dark ass tunnel and that's unbelievable, isn't it?
407300	411820	How did Bourne get away with all these witnesses there and then the next movie?
411960	415420	How did any of those witnesses see Bourne in that dark tunnel?
416060	417020	Shameful
417020	420500	These videos came out only two days apart, by the way
421300	424540	Similar to that. Let's look at a sin from their video about Ghost in the Shell
425020	428340	Earlier we saw that the major is heavy and dense enough to bend a metal roof tile
428340	431580	But here she's buoyant enough to float on water instead of sinking like a rock
431660	434960	So how can the major float when she's so heavy?
435180	435700	Well
435700	440700	The shot CinemaSins used is taken from the end of the diving scene after we've already seen the
440780	443900	flotation device on the majors back carry her to the surface
444420	449780	CinemaSins neglect to show that obviously what they also don't mention here is the following
450020	455740	conversation on the boat where Batou talks to the major about how dangerous it is for cyborgs to go swimming and
455980	461360	Specifically mentions the majors flotation equipment, you know, how did CinemaSins miss this scene?
461820	468720	Well, it turns out they didn't major is swimming in this scene much like she does in the original only the original brings up
468720	472720	How dangerous it is for cybernetic humans to go deep in the water like this because you know
472760	476840	They're made of heavy machinery, but this movie doesn't mention it once since this scenes compress so much
476840	478840	It feels like it's in gif format. So
479440	481440	CinemaSins did see that scene
481700	487460	They must have in order to use it to criticize the live-action remake and that's pretty shady, isn't it?
487800	494720	This just confirms my suspicions that CinemaSins write their scripts while watching the movie for the first time and don't go back to do
494720	501900	Any editing when the movie provides them with additional information that proves them wrong at the start of their video for Citizen Kane?
502900	504300	Citizen Kane
504300	506300	They call these gondolas
506420	509420	Viking canoes and then go on to say this
509580	514900	rich guys castle has a drivable par-4 on hole 16 just so he can feel good about himself toward the end of the round a
515340	517340	drivable par-4 at
518020	519420	365 yards
519420	521200	Well that seemed a little off to me
521200	528420	So I went to check and found a page on golf week.com that lists the average PGA Tour driving distances for recent years
528500	536180	And they have never averaged over 300 yards and they're professional golfers. So is this a drivable par-4?
536660	539380	Well, maybe for about 30 people on the planet
539380	546780	But that's it and I'd like to thank CinemaSins for getting two obvious things wrong in the first minute of their video about Citizen Kane
546900	553980	So that I didn't have to force myself to watch the rest of it from Citizen Kane to the Lego Batman movie now
554020	556500	This is where the movie loses me and starts to just be noise
556780	563900	tossing in the Wicked Witch from Wizard of Oz Sauron Bremlins agents from the matrix King Kong Voldemort Daleks Daleks
565660	566880	Daleks
566880	570060	What's that? Oh, it's a day look isn't it?
570660	571900	incredible
571900	579100	In their video about blade they criticized the distance between the bite marks of the quotes vampire incisors
579460	585420	But vampires are usually depicted not with sharp incisors, but with sharp canines as indeed
585420	586780	They are in blade
586780	593140	That's a canine right there in their video for the jungle book remake CinemaSins call Shere Khan a quote
593580	601640	African tiger, which is odd both because the jungle book is set in India and African tigers don't exist
602620	608280	CinemaSins still don't know too much about animals. I see let's do a few more animal examples here
608860	614800	Starting with their video for Saw 2 where they say that this person is wearing a horse mask
615280	620600	That's a horse snout there. I guess and in their video for Pocahontas
620600	626920	They call this raccoon a rodent but raccoons aren't rodents in finding Dory
626920	631880	They think that the octopus characters camouflage automatically blends in with the background
632240	634240	But this is not the case in
634240	641200	Reality the mimic octopus for example is able to control its camouflage ability at will not only to blend in with its surroundings
641200	646480	But also to mimic other animals and in their video for the movie split they call these mice
647120	655480	Gerbils so where does one learn about animals because CinemaSins need to go and be there in their video for
655600	660160	Shrek they say that the DreamWorks logo has two letter E's in it
660960	663300	And I'm not too sure about this to be honest
663300	670160	I mean I I see the first one sure between the R and the a there and with them on that but after that
670560	676540	I'm lost I'm afraid in how to train your dragon to they refer to a character called Doba
677400	681000	However, there isn't a character called Doba in this movie
681320	686240	There's a character called gober, so I'd guess they meant him is probably a safe bet
687040	690800	Similar to that in Jack Reacher they refer to a character named Stacy
691440	695080	However, there is no character called Stacy in Jack Reacher
