start	end	text
0	4000	Cancer is a creepy and mysterious thing.
4000	8320	In the process of trying to understand it, to get better at killing it, we discovered
8320	13320	a biological paradox that remains unsolved to this day.
13320	17960	Large animals seem to be immune to cancer, which doesn't make any sense.
17960	21400	The bigger a being, the more cancer it should have.
21400	26000	To understand why, we first need to take a look at the nature of cancer itself.
30000	38960	Our cells are protein robots made out of hundreds of millions of parts.
38960	45280	Guided only by chemical reactions, they create and dismantle structures, sustain a metabolism
45280	50000	to gain energy, or make almost perfect copies of themselves.
50000	53620	We call these complex chemical reactions pathways.
53620	59820	They are biochemical networks upon networks, intertwined and stacked on top of each other.
59820	64220	Most of them can barely be comprehended by a single human mind, and yet they function
64220	65220	perfectly.
65220	68500	Until they don't.
68500	73680	With billions of trillions of reactions happening in thousands of networks over many years,
73680	77840	the question is not if something will go wrong, but when.
77840	82460	Tiny mistakes add up until the grandiose machinery gets corrupted.
82460	86800	To prevent this from getting out of hand, our cells have kill switches that make them
86800	88640	commit suicide.
88640	91620	But these kill switches are not infallible.
91620	95480	If they fail, a cell can turn into a cancer cell.
95480	98860	Most of them are slain by the immune system very quickly.
98860	100660	But this is a numbers game.
100660	105420	Given enough time, a cell will accrue enough mistakes, slip by unnoticed, and begin making
105420	107020	more of itself.
107020	110040	All animals have to deal with this problem.
110040	114260	In general, the cells of different animals are the same size.
114260	117040	The cells of a mouse aren't smaller than yours.
117260	121100	It just has fewer cells in total and a shorter lifespan.
121100	126780	Fewer cells and a short life means a lower chance of things going wrong or cells mutating.
126780	129740	Or at least it should mean that.
129740	134540	Humans live about 50 times longer and have 1,000 times more cells than mice.
134540	139160	Yet the rate of cancer is basically the same in humans and in mice.
139160	144460	Even wader, blue whales with about 3,000 times more cells than humans don't seem to get cancer
144460	146380	at all really.
146400	152760	This is Pitot's paradox, the baffling realization that large animals have much, much less cancer
152760	154960	than they should.
154960	161360	Scientists think there are two main ways of explaining the paradox, evolution and hypertumors.
161360	165520	Solution one, evolve or become a blob of cancer.
165520	171700	As multicellular beings developed 600 million years ago, animals became bigger and bigger,
171700	176280	which added more and more cells and hence more and more chances that cells could be
176280	177480	corrupted.
