start	end	text
0	1540	Let's talk about plagiarism for a bit.
1540	3880	In case you're not hip to all the best YouTube drama,
3880	8000	a video game YouTuber called Weegee the God put out a video recently entitled
8000	9840	Why the Blue Yeti Sucks.
9840	13080	The video is incredibly obnoxious, and this is me we're talking about here.
13080	16800	The Blue Yeti is a $100 stainless steel toy.
16800	19080	Everything good you heard about it, forget it.
19080	22420	They're lies born from hobbyists with no concept of quality.
22420	25920	Along with dismissing a fairly decent and affordable USB microphone
25920	29160	for newer or young people who don't need professional quality,
29160	32080	his voice is in this annoyingly performative tone,
32080	34360	his audio is noticeably overproduced,
34360	38740	and every sentence ends with him smugly droning the final word,
38740	41780	and it's super grating to listen to.
41780	45860	But worse than any of that, almost all the video's content, style, arguments,
45860	47580	and research is stolen.
47580	51160	I'm here to tell you the Blue Yeti is a $100 stainless steel toy.
51160	52960	Everything good you heard about it, forget it.
52960	55660	They're lies born from hobbyists with no concept of quality.
55660	58280	There's a lesser-known YouTuber called Soul Brother Number 3.
58280	60160	I've been a pretty big fan of his for over a year.
60160	62900	I used a Blue Yeti for a while until seeing his video series,
62900	64400	How to Be an Online Voice Actor,
64400	66820	and taking notes about the results of better acoustics,
66820	69160	placement, and the value of XLR microphones.
69160	71400	In fact, when I was looking for a good preamp late last year,
71400	74360	I paused one of his cutaway shots of his own setup
74360	76620	and found a version of that one on eBay.
76620	78580	He made a video about how to use DSLRs,
78580	80400	and even though I haven't used those for a while,
80400	83200	I got into Samyang lenses as a result of him mentioning them.
83200	86440	Here's me plagiarizing that shot from the video with the exact same lens.
86480	88820	I'm beginning to think I might be a little obsessed with this guy.
88820	90860	I've seen all of his videos multiple times,
90860	92520	so when this video got on my radar,
92520	96060	I immediately noticed that not only did he rip off Soul Brother's style,
96060	99560	but he even stole entire lines and sentences.
99560	103740	Here he is ripping off really basic things you could have changed to hide it,
103740	108200	like the diagrams and method of highlighting examples while talking about them.
108200	111200	It's utterly absurd how much of a ripoff this is.
111200	112980	When someone pointed this out to Ouija,
112980	115060	as if he needed to be told he'd done this,
115060	117640	he added the video as a source deep in the description,
117640	119680	claiming he quotes and references him.
119680	124320	Yeah, and Diesel was just quoting and referencing Stardust Crusaders, too.
124320	126100	The really shitty thing about this, though,
126100	129480	is that it completely reappropriates Soul Brother's ultimate point.
129480	131900	The source videos are fun and useful tutorials
131900	134480	with the intent of informing and helping a group of people
134480	135980	that could benefit from knowing.
135980	138280	The fact the Blue Yeti isn't the apex of quality
138280	140480	is worth talking about when discussing the craft,
140480	143740	and more importantly, elevating voice acting to a craft
143740	145280	is a really great thing to do.
145280	147780	It's just a for-fun or Skype microphone.
147780	151580	It's, to actually quote Soul Brother, a toy.
