start	end	text
0	8080	Oh shit, am I screen recording?
8080	9840	How do I turn this off?
9840	10840	Look away.
10840	11840	Everyone look away.
11840	15720	Don't look at this.
15720	16960	Oh.
16960	20960	Looks like Behring has a video called YouTube's Coolest Trans Chick.
20960	21960	Huh.
21960	22960	That's kind of weird.
22960	27920	Behring's videos are usually anti-SJW screeds, where he mocks feminists for being fat and
27920	33360	ugly and dumb and retarded and gay and fat and dumb and retarded and fat.
33360	37120	He's not the kind of YouTuber I'd guess would be down with the whole trans thing.
37120	38560	But maybe I'm wrong.
38560	40560	Let's watch it and give him a chance.
40560	41920	But first I gotta do something.
57920	82240	Right, so Behring's video.
82240	83240	Let's take a look.
83560	88400	Yesterday I caught up with Blaire White, YouTube's most awesome trans chick and fellow anti-feminist
88400	89400	shitlord.
89400	90400	Oh, Blaire White.
90400	92160	I've seen her videos before.
92160	95520	She showed up on YouTube a few months ago and made an interesting video about how being
95520	100120	perceived as a beautiful, young, skinny, white cis woman actually gave her certain privileges
100120	102320	that she didn't have when she was perceived as a man.
102320	106080	Then she made another interesting video where she recalled witnessing an entire feminist
106080	110280	psychology class laugh at a male student who had just shared his story of being physically
110280	112160	and emotionally abused by his girlfriend.
112160	115680	I know from experience that this kind of thing really does happen in some feminist
115680	119520	circles and I think it's important to call it out as the vile and shameful offense that
119520	120520	it is.
120520	123840	So I'm grateful to Blaire for stepping up and for having made those first two genuinely
123840	125400	provocative videos.
125400	129640	But in the videos she's made since, she kind of jumped on the feminism is cancer bandwagon
129640	131360	and I lost interest after that.
131360	133880	But anyway, let's see what she has to say to Behring.
133880	140080	Tell me, what is your take on the bathroom talk, North Carolina, all that shit?
140080	141520	I think it's a huge mess.
141520	147040	I think that people tend to care about it a whole lot more than trans people actually
147040	148040	do.
148040	151120	In my mind, if you're trans and you're really making an effort to look the part and to live
151120	153520	the life, then you're not going to have that issue regardless.
153520	157280	So if you're really making the effort to look the part, then it's no problem that North
157280	162040	Carolina legally requires you to use the bathroom corresponding to the sex on your birth certificate.
162040	166120	Well, that's not much solace to trans people who are still transitioning or who are unable
166120	169680	to present as cis due to their bone structure or other limitations.
169680	171560	Pleasure wreath Simon ain't cheap kids.
171560	175920	It's also no use to people who shun conventional gender presentation of their own volition.
175920	178920	But I already knew that Blair doesn't care for that sort of person.
178920	183960	Do you get much discrimination on say YouTube or in your day to day life?
183960	188000	I mean, how much heat do you get for being transgender?
188000	189000	Almost none.
189000	193240	I don't begin all my sentences with as a trans person, as a trans woman, as a transgender
193240	194240	girl.
194240	195240	Like that's not what it is.
195240	196840	Like, I just live my life.
196840	198120	It's really not even a thought.
198520	202320	I guess I kind of remember when I'm taking my hormones, but other than that I don't think
202320	203320	about it.
203320	208280	Well, it's pretty easy to not think about it when the world treats you like a cis person.
208280	212400	But I am lucky enough that I can enter most public spaces and the world does interact
212400	217000	with me as a woman, not as a trans person or as a man.
217000	225160	So I do think that I am in a position to discuss female privilege as it's afforded to cis women.
225200	229360	I'm glad that Blair doesn't face much discrimination for being trans, but I kind of suspect that
229360	233360	part of what Baring finds cool about Blair is that she isn't a victim.
233360	237280	Blair has said in other videos that she's trying to get away from the victim mentality.
237280	243000	The farther I get into my transition, the farther I stray away from that victim mentality.
243000	244920	And I think this is an understandable urge.
244920	247160	I don't like thinking about myself as a victim either.
247160	253320	I like to think that I'm strong and beautiful and nubile and in control of every situation
253320	254920	except when I choose not to be.
254920	258720	But it's a lot easier to get away from the victim mentality when you're not a victim.
258720	261800	Also we should recognize that fighting for fair treatment is not the same as having a
261800	263200	victim mentality.
263200	266920	Blair recognizes that trans people are subjected to a disproportionate amount of violence and
266920	267920	discrimination.
