start	end	text
0	5520	I can't keep up. While I was uploading this catalogue of errors on Steve Crowder's website
5520	11520	in my last video, I mean literally while it was being uploaded, I noticed Team Crowder posted
11520	16400	yet another one. Well, at least this time they can't be blamed for not checking with the source
16400	22400	because this time their source isn't a blog or a tabloid newspaper. It's the actual statement by
22400	27840	the Swiss National Science Foundation which funded research by several scientific organisations.
27840	34320	The PMOD which led the study, the EAWAG, ETH Zurich and the University of Bern.
35440	39840	So there's no fact checking to be done, the facts are right there in front of them.
39840	45280	All they had to do was copy them. And this time they can't be excused for not understanding the
45280	50720	complicated scientific jargon because it's not a scientific paper, it's a statement written in
50720	56560	just plain English. So what on earth went wrong? Well let's start with an easy one,
56560	61600	the very second paragraph of the statement begins, there is human induced climate change
61600	67520	and there are natural climate fluctuations. But Team Crowder thinks the statement concludes,
67520	71280	when it comes to fluctuations in global temperatures, the sun is to blame.
72480	77920	No, the statement says nothing of the sort, nowhere in the entire text. It says climate
77920	83760	change is due to human induced climate change and natural climate fluctuations, which of course is
83760	88720	what every other researcher in the field says. And one of those natural climate fluctuations
88720	95200	is the sun. But that kind of misrepresentation is easy, Team Crowder is just making something up and
95200	99440	hoping no one notices. What they do next is far more subtle.
100560	106960	First Team Crowder quotes verbatim from the SNSF statement, they, that's the researchers,
106960	111840	expect the earth's temperature to fall by half a degree when solar activity reaches its next
111840	119280	minimum. Yes, that is in the SNSF statement and it looks pretty cast iron. So Team Crowder feels
119280	124720	it can confidently tell us that the earth is poised to not get warmer but a little cooler,
124720	129680	the climate cools as the sun cools. Then if we scroll down,
132000	139280	a bit further, okay stop, go back. Right there, Team Crowder tells us that climate
139280	145040	changes are already rushing to decry this new information. Typical climate changes.
145600	150560	Because good news for the planet is bad news for idiots who want to feel relevant by blaming
150560	156160	humanity for having the power to affect the planet's climate. So who's the example they
156160	162080	give of an idiot climate changer decrying this new information? According to the example they
162080	168800	showed, some guy called Werner Schmutz, head of some project or other. According to the project
168880	173520	head Werner Schmutz, this reduction in temperature is significant even though it will do little to
173520	179600	compensate for human-induced climate change. So again Team Crowder seems to be right. As soon as
179600	184400	the scientist publishes a study clearly showing that we're in for a period of global cooling,
184400	189760	some idiot climate changer decries it with a claim that it's going to be overwhelmed by man-made
189760	197120	global warming. So who is this Werner Schmutz? Well, if we look to see where the quote comes
197120	202720	from it turns out a crucial piece of identifying information has been cut by Team Crowder.
203280	211120	The original quote identifies Werner Schmutz as director of PMOD. Hang on, isn't that one
211120	216720	of the scientific institutes that did the study? Now that's odd. Is the director of the PMOD
216720	221840	refuting the conclusions of his own researchers? And if so, why did Team Crowder remove the
221840	228400	reference? Well, it turns out that Werner Schmutz, the idiot climate changer who apparently decries
228400	236000	the SNSF study, is the same Werner Schmutz who was lead author of the SNSF study. That's because the
