start	end	text
0	7240	Rogue planets are planets that travel through the universe alone.
7240	12400	They inhabit the dark and vast space between the stars.
12400	16980	Drifting alone through eternal darkness, no light warms their surfaces and they are exposed
16980	19600	to the freezing cold of outer space.
19600	24900	They know no seasons, no days, and no nights which could give away the passing of time.
24900	30180	And yet, rogue planets might carry alien life to all corners of the galaxy.
30180	44640	How would that work, and how does a planet become a rogue anyway?
44640	48420	There are several very different things that get called rogue planets.
48420	53620	For example, sub-brown dwarfs, gas giants that form from collapsing gas clouds and the
53620	56140	boring little brothers of brown dwarfs.
56140	60900	They're a sort of failed star, and we'll now stop talking about them.
60900	65980	A far more interesting sort of rogue are terrestrial planets similar to Earth that got kicked out
65980	67900	of their planetary system.
67900	73020	Young star systems are dangerous places where protoplanets are battling for the available
73020	76480	mass guzzling up as much material as possible.
76480	80540	In this fight for dominance, they collide with each other or get dangerously close to
80540	82140	each other's orbits.
82140	86900	If a very massive planet moves its orbit closer to the star, it can kick smaller planets
86900	88500	out of the system.
88500	93260	But just because a planet has survived the growing pains of formation doesn't mean it's
93260	94260	safe.
94260	99560	Planetary systems can be disrupted by flybys from stars or black holes at any point.
99560	103940	Up to half of all planets born could end up as rogues.
103940	107260	Scientists don't agree on the numbers, but it's likely that at the very least, there
107260	111020	are billions of rogue planets in the Milky Way alone.
111020	113740	Most rogues will share the same depressing fate.
113740	118540	As their star becomes smaller day by day, the planet's surface quickly cools down to
118540	122160	minus 270 degrees Celsius.
122160	125900	If they have oceans, they'll freeze and become as hard as bedrock.
125900	130820	Their atmospheres will sink down to the surface and eventually freeze too.
130820	137880	But weirdly enough, some of these frozen, dark deserts could harbor life.
137880	142240	To understand how, let's imagine a planet similar to Earth in the same order of magnitude
142240	145440	in terms of mass and composition.
145440	149980	If we put it into deep space, how could it still support life?
149980	155120	As far as we understand the nature of life, there is one indispensable ingredient it needs
155120	157680	— liquid water.
157680	163140	Water is important because it mixes things, both matter and energy, which lets interesting
163140	166400	chemistry happen, like life.
166400	170240	So our planet needs enough energy to keep at least a part of our oceans warm enough
170240	172280	to sustain liquid water.
172280	178160	Annoyingly, about 99.97% of Earth's energy budget comes from the sun.
178160	184120	So our imaginary rogue Earth needs to work with the 0.03% of energy it has left, which
184120	187320	almost exclusively comes from its hot center.
187320	192440	Earth's inner core is a giant metal ball, about as hot as the surface of the sun, that's
192440	197640	surrounded by the outer core made up of liquid metals that are very, very slowly solidifying,
197640	200120	releasing a lot of heat in the process.
200120	205000	As long as this process is ongoing, our planet will be geologically active, with solid and
205000	209680	liquid material moving around and transporting energy to the surface where it can be harnessed
209680	211800	as geothermal energy.
211800	216480	While the hot core of every planet will cool off eventually, this process takes billions
216480	221840	of years, enough time for life to come into existence and thrive.
221840	225480	There's even one scenario that could allow an Earth-like planet to have oceans that are
225480	227120	not frozen over.
