start	end	text
0	4000	Today, I want to talk about, um, Guardians of the Galaxy.
4000	6200	Showtime, a-holes!
6200	7900	Yeah, I'm kind of surprised too.
7900	14700	Despite the insistence on certain sects of the internets that there is some grand pro-Marvel, anti-DC conspiracy,
14700	18900	while on the whole I'd say I'm pretty sick of the media being flooded with superhero movies,
18900	25700	I neither have a particular love nor hate for the Marvel Cinematic Universe so much as I'm just exhausted by it.
25700	31000	But as for the quality of the individual films themselves, to me they run the gamut from,
31000	34200	eh, it's fine, to, eh, it's pretty good.
34200	40200	They rarely prompt a re-watch and they even more rarely evoke any kind of real emotional reaction in me.
40200	46200	So when I saw Guardians of the Galaxy Vol. 2, the third time, with Whiskey,
46200	51200	He may have been your father, boy, but he wasn't your daddy.
51200	54700	Ah! Ha ha ha ha ha ha!
54700	58000	So I guess this one is joining Moana and too many cooks in the,
58000	61000	uh-oh, I'm drunk and there's a movie on, how did this happen club?
61000	66100	And I was not primed to feel, you know, anything about Guardians of the Galaxy Vol. 2,
66100	69900	but in the end I've always kind of had mixed feelings on the whole Guardians franchise.
69900	74400	On the one hand, the first one came out at a time between Man of Steel and Batman v. Superman,
74400	79100	and even other Marvel movies that came out around that time were trending really grounded and serious.
79100	82800	So Grimdark looked like it might be the trend for all of superhero-dom.
82800	87200	Hell, hell, what's the matter with you?
87200	92400	Then enter Guardians of the Galaxy with its neon color scheme and its late 70s pop jazz soundtrack
92400	98200	to suddenly throw that grimdark trend into stark relief with something, you know, fun.
98200	99700	They got my dick missing!
99700	102900	So while I am glad that Guardians helped right the ship a little bit,
102900	105900	I don't think that the Guardians approach is beyond criticism.
105900	108300	For one thing, the film features more than a few jokey jokes
108300	111200	that featured more than a whiff of the old casual sexism.
111200	113000	Like Drax's little observation here.
113000	115000	And this green whore she took.
115000	116200	Oh, you must stop!
116200	119900	This doesn't even make sense because he'd literally have to think she was a prostitute
119900	123500	before you f***ing pedants tell me that there's a cutscene where someone calls her a whore,
123500	126000	and Drax does literally think she is a literal prostitute
126000	129000	because he takes all of the metaphors literally that's not in the final cut,
129000	130500	so this joke doesn't even make sense!
130500	131900	Oh, you must stop!
131900	136000	Guardians also suffers from possibly the weakest of any of the Marvel villains,
136100	139100	except for arguably the guy from Thor, The Dark World.
143400	145400	I couldn't even remember his name. I had to look it up.
145400	148100	He was a dark elf or something?
148100	151400	And I was like one of the eight people that actually kind of liked Thor, The Dark World.
151400	153900	Anyway, also I love that this character's name is Ronan.
153900	158800	Like if you spent any time in Ireland, I dare you to find a more common mundane name than Ronan.
158800	160900	There are some who call me...
162900	163900	Tim?
163900	165800	Greetings, Tim the Enchanter.
165800	169900	Although Disney flooding the advertising market with Baby Groot in the month before the movie came out
169900	171700	just really grated on me.
171700	174300	Everyone is paying too much for car insurance.
174300	176800	We've got to save them money.
176800	177700	I agree.
177700	181100	Baby Groot looks like a Funko Pop toy that's going to fill a million landfills
181100	184100	and be used as currency in the post-apocalyptic hellscape.
184100	187900	That loaf of bread is gonna cost you five and a half Baby Groot Funko Pops, please.
187900	191600	But I give Guardians a fairly decent pass by being a genuinely strong narrative
191600	193600	with likable and well-rounded characters.
