start	end	text
880	5600	Leaving Earth to find new homes in space is an old dream of humanity,
5600	8880	and will sooner or later be necessary for our survival.
9600	15600	The planet that gets the most attention is Mars, a small, toxic, and energy-poor planet
15600	20560	that just about seems good enough for a colony of depressed humans huddled in underground cities.
21280	26240	But what if we think bigger? What if we take Venus, one of the most hostile and
26240	32800	deadly places in the solar system, and turn it into a colony? Not by building lofty cloud cities,
32800	37680	but by creating a proper second Earth. It might be easier than you think.
47120	51440	Venus is by far the hottest planet in the solar system, with a surface temperature of
51440	59520	460°C, hot enough to melt lead. This heat is due to the most extreme greenhouse effect in the solar
59520	68320	system. CO2 is great at trapping heat. Even a rise from 0.03% to 0.04% in Earth's atmosphere
68320	76800	is heating up our planet right now. Venus' atmosphere is 97% CO2. Also, Venus' atmosphere
76800	82320	is 93 times denser than Earth's. Standing on Venus' surface would feel like taking a dive
82320	86880	about 900 meters deep into the ocean. The pressure would kill you instantly.
87600	90800	It's a truly horrible place, so why should we even bother?
92000	97280	First and foremost, Venus is almost as big as Earth and has 90% of its surface gravity.
97920	102480	Surface gravity is a big problem when colonizing the solar system because it's very likely that
102480	108320	long stays in low-gravity places will have negative health effects. Venus' size means
108320	114080	it could be the second largest habitat in the solar system. A new home for billions of humans
114080	119360	and trillions of animals, with oceans, lush forests, and a beautiful blue sky.
120080	124800	A properly terraformed Venus may be the most pleasant place to live outside of Earth.
125680	131360	While we can't exactly terraform Venus today, a slightly more ambitious future version of us
131360	136960	could take this project on. It will take a few generations to complete and be a huge challenge,
136960	141840	like building the Great Pyramids was for our ancestors. But then, it's not like humans have
141840	147200	never started projects that took more than a lifetime to complete. Okay, let's do it.
148000	153120	Before anything else, we need to cool Venus down and remove the gas that makes up the extremely
153120	160080	heavy atmosphere. As mentioned, there's a lot of it. Around 465 million billion tons.
160800	166320	How do we do that? There are a few options. We could create giant solar collectors powering a
166320	171040	huge array of laser beams that heat up the atmosphere so much that it's blasted into space.
171600	176640	Although we would need thousands of times the entire power-generating capacity of humanity,
176640	181840	and it would still take thousands of years to remove the atmosphere. Another way is to
181840	187360	sequester the atmosphere, binding the CO2 in different compounds through chemical reactions.
188000	193280	We could mine elements like calcium or magnesium on Mercury and shoot them at Venus via mass
193280	199920	driver systems, electric rails that make rockets unnecessary on smaller planets. The metals would
199920	206080	combine to bind the CO2 into different carbonates basically forever. But the scale makes the whole
206080	212720	thing impractical. We would need several hundred billion tons of material to sequester the CO2 this
212720	219280	way. Seems like a waste of material and might take too long. An equally ridiculous idea that
219280	226240	could actually work is to put Venus in the shade, literally, by constructing a huge mirror to blot
226240	231760	out the sun to just freeze the atmosphere. The mirror doesn't need to be complex or massive,
231760	237200	just a very thin foil with a little structural support. Building such a large flat surface so
237200	241920	close to the sun will turn it effectively into a solar sail and push it out of position,
241920	246960	so instead of one giant circular object, our mirror will consist of many different pieces.
247680	252560	Annular slats of angled mirrors can reflect sunlight from one set of mirrors to the next.
252560	257600	Mirrors would be angled, reflecting light from one to another until the light is redirected to
257600	263280	the back, balancing the force on the front and holding them in position. After a few years of
263280	269920	getting the infrastructure in place, things start slowly and then escalate. For the first few decades,
269920	276320	the atmosphere slowly cools down but stays dense and deadly until, after some 60 years,
276320	282880	it reaches the critical temperature of 31 degrees Celsius. Suddenly, the great flood begins on Venus
282880	289760	as CO2 turns to liquid at this pressure and begins to rain down. A constant global rainstorm of
289760	296080	unbelievable proportions lasting 30 years. The pressure and temperature suddenly begin to drop
296080	302800	in unison. For almost a century, puddles turn into lakes and oceans. The surface temperature
302800	308160	is now minus 56 degrees Celsius and the pressure has dropped to only seven times the pressure on
308160	314720	Earth. Finally, at a really unpleasant minus 81 degrees Celsius, the CO2 oceans begin to freeze
