start	end	text
0	2840	This video is sponsored by CuriosityStream.
2840	5520	Get access to my streaming video service, Nebula,
5520	6960	when you sign up for CuriosityStream
6960	8680	using the link in the description.
8680	11800	CuriosityStream is a subscription streaming service
11800	14840	with thousands of documentaries and nonfiction titles.
14840	16820	Interested in the science of how personality
16820	19240	and mental disorders develop over a lifetime?
19240	21840	Curious Minds Brain Health teams up with neurologists
21840	24600	and neuroscientists to explore how recent advancements
24600	27440	in technology have helped medical professionals diagnose,
27440	29520	describe, and treat some of the common disorders
29520	30720	discussed in this video.
30720	33400	CuriosityStream is normally 1990 year,
33400	36440	but if you go to curiositystream.com slash Lindsey
36440	41440	and use the code Lindsey, it's only 1479 for the year,
41840	45760	and you get access to our streaming service, Nebula.
45760	48460	So go to curiositystream.com slash Lindsey,
48460	50940	use the code, which is also just my name,
50940	54480	and in the meantime, Loki.
54480	57560	I'm asking for safe passage through the anus.
57560	61360	So the MCU's hop to TV show has been preoccupied
61360	63260	with mental health, huh?
63260	66920	James, why does Sam aggravate you?
66920	69520	And don't say something childish.
69520	71620	First we had trauma as manifested
71620	74520	by sci-fi magic and WandaVision.
74520	77200	Look, we've all been there, right?
77200	79780	Letting our fear and anger get the best of us,
79780	81600	intentionally expanding the borders
81600	83360	of the false world we created.
83360	84200	Ahh!
92040	96440	Then we had PTSD and more trauma and lots of therapy
96440	98100	with Falcon and the Winter Soldier.
98100	100020	Look, you've got to nurture friendships.
100020	103000	I am the only person you have called all week.
103000	104240	That is so sad.
106060	107880	But then we took an interesting turn
107880	110520	into a mental disorder that is extremely popular
110520	113960	as a character trait, but rarely discussed in fiction
113960	115900	with Loki.
118240	119800	I'm a narcissist.
119800	121420	And then of course there was all this discourse
121420	124100	reacting to the text of the show.
124100	126320	Is Loki a narcissist?
126320	130140	What a incredible seismic narcissist.
130140	132940	Narcissism or narcissistic personality disorders
132940	135360	is one of the more common personality disorders.
135360	136620	So it is kind of surprising
136620	138400	that it is so widely misunderstood,
138400	140280	especially in light of other mental illnesses
140880	143640	like bipolar disorder or borderline personality disorder
143640	146100	or PTSD, gaining much wider awareness
146100	147560	in the last two decades.
147560	149600	Most people don't seem to have a lot of interest in it
149600	151480	outside of demonizing it.
151480	155320	Usually because they know a narcissist or several
155320	157280	and the perception of what NPD is
157280	159180	is basically that of a psychopath
159180	161200	with particularly high self-esteem.
161200	163840	Narcissists are primarily defined by their lack of empathy.
163840	167760	You know what happens when someone upsets me.
167760	169160	See how I do it.
169160	171760	So there are so many fictional narcissists in media.
171760	173840	Narcissists make great antagonists
173840	176840	and often sometimes even fun protagonists.
176840	179660	This perfect world begins and ends with me.
179660	181540	It's fun to watch characters who are blind
181540	183760	to their own faults and lack self-awareness.
183760	186040	Something less conspicuous.
186040	188040	Processing, processing.
189440	192160	Why am I so amazing?
192160	195080	In comedies, narcissists are, well, comedy gold
195080	196900	because we get to enjoy the juxtaposition
196900	198700	of how they see themselves
198700	201100	versus the reality of how other people see them.
201100	203520	You know, desire smells like that to some people.
203520	204360	What is that?
204360	207260	It smells like a turd covered in burnt hair.
207260	209720	The MCU has several prominent characters
209720	212280	to which the word narcissist has been applied.
212280	214060	Obviously, Loki is up there.
214060	215940	Then of course there's Thanos.
215940	218580	Thanos exercises power to wipe out half the universe
218580	220540	because he believes he is the only one
220540	223540	with the right solution to what he sees as a sickness.
223540	224900	And of course he sees his children
224900	227860	as an extension of himself and loves them.
227860	230440	If you're saying I play favorites, you're wrong.
230440	232320	I love all my children equally.
233540	235300	I don't care for Nebula.
236740	238980	Loves them extremely conditionally.
238980	240860	In order to take the stone,
240860	243380	you must lose that which you love.
