start	end	text
0	5000	now this is the story of the old west and it's a story of a man named
5000	10760	Sylvester and he was a dangerous gunslinger yes this is the pothole of
10760	17360	54 channel just bear with me they were in this bar playing cards and somebody
17360	22040	was cheating and next thing you know they go for their guns the guns are
22040	27760	jerked white gun smoke filled the room Sylvester got hit took a bullet tried to
27760	33520	shoot at him again but he got away he slipped out into the desert he collapsed
33520	39280	his face first into the ground and he's a goner and he starts drying and frying
39280	44400	and mummifying and ends up here at a Hall of Curiosities in Seattle where
44400	48640	visitors gawk at Sylvester's desert dried mummy and take pictures of the
48640	53040	blood-spattered bullet hole that killed him at least that's what Arizona's state
53040	58360	historian Marshall Trimble would have us believe but what does science tell us
58360	63200	well an autopsy of the body revealed it hadn't been mummified by the dry desert
63200	67920	heat at all because it was dripping wet with embalming fluid and scientists who
67920	71880	undertook the autopsy on behalf of the History Channel found that the fluid was
71880	76200	loaded with arsenic a common embalmers chemical used in the late 19th century
76200	81280	and they found the injection points in his legs where the fluid was pumped into
81360	85960	the veins and when they checked the hole in his stomach it wasn't consistent with
85960	91400	a bullet but a drill and the so-called blood spatter around it wasn't blood but
91400	97040	red paint and the autopsy revealed that Sylvester didn't die in a gunfight he
97040	102080	died of tuberculosis so what does Arizona's state historian have to say
102080	107320	now that a scientific analysis has shown that everything he believed was a crock
107320	111160	Sylvester can be anybody we want him to be and I want him to be a gunslinger
111160	116280	that's right he still wants to believe it to some people it doesn't matter what
116280	121080	the evidence is or what the science shows for the truly deluded if we want
121080	125760	the gunslinger story to be true then it's true well it's true for me you see
125760	128720	I believe you mean true for you is different from true for anybody else
128720	134000	it's a mindset a human failing that I've been trying to fathom for years of
134080	137480	course we all know that this kind of delusion is meat and potatoes for
137480	141960	creationists because the eye is so complex here's one asking Richard
141960	145480	Dawkins how evolution could make something as complex as an eye a
145480	150840	question Dawkins was able to answer quite easily you can make a slowly
150840	156600	climbing ramp of improvement from just the very rudiments of vision just say
156600	161180	being able to tell the difference between light and shade nothing more
161180	167140	than that right up to the perfection of a human eye or the eye of a hall I mean
167140	171420	there are flatworms that have just a cup for an eye note no lens not even a pinhole
171420	176020	there are animals like nautilus which is a sort of coiled up squid kind of thing
176020	182260	did you find that convincing I said about the eye well not really now you
182260	186300	might think this guy went on to say he didn't understand the explanation or he
186300	190380	found a flaw in the explanation or he questioned the evidence that supported
190380	196820	it but no none of these so what was the reason he didn't accept it let me tell
196820	200500	you what what happened in my brain at that particular moment in time was that
200500	205140	I was thinking of the book of Genesis and where God says that he made
205140	208940	everything according to its kind okay you're probably not all that surprised
208940	214140	after all he's a creationist but this video isn't about why religious people
214140	218380	delude themselves into disbelieving observable evidence and thinking that
218380	222900	science is all a conspiracy it's about why we still have that affliction even
222900	227300	in a post religious world in Western countries where religion is in decline
227300	231860	people aren't necessarily falling in line with science and rational thinking
231860	235780	instead they're turning to wacky ideas they hear from the internet and
235780	240500	believing as Bill O'Reilly would put it that even though science tells us it's
