start	end	text
0	6000	Uh, Ion Hisilius has come out against this and says, no, that's not right.
6000	14080	In fact, liberal Western values are in fact correct when they say that it is wrong to
14080	19280	cut, to mutilate little girls' genitals without anesthesia.
19280	20280	That is wrong.
20280	21280	We can put our foot down.
21280	22480	It doesn't matter what culture you come from.
22480	28080	It doesn't matter what I personally believe about it.
28080	32200	Meet Dillentine Two, a 9-11 truther.
32200	35080	Dillentine Two is going to try and answer some questions.
35080	36080	Hi, Dillentine.
36080	37080	Excuse me.
37080	41080	Allow me to readjust my antennae.
41080	44080	Oh no, my aluminum foil.
44080	48080	I have to protect my brain against the pulsars.
48080	53760	At this point in the interview, the satellite connection unexpectedly failed.
53760	58040	Dillentine Two was later to rely on this as evidence of a conspiracy, although he was
58040	60040	uncertain as to what conspiracy.
60040	63840	In any event, we pick it up a few minutes later.
63840	67240	Oh my God.
67240	72240	Dillentine Two, how long did it take for the Twin Towers to collapse?
72240	75760	9-11 was an inside job.
75760	80000	Yes, but how long did it take for them to collapse?
80000	81000	Nine seconds.
81240	86240	OK, but have you seen the footage that clearly shows that they don't fall in that time?
86240	88240	They fell at free-fall speed.
88240	92240	But nine seconds is free-fall speed.
92240	94240	Nearly free-fall speed.
94240	95240	Nearly.
95240	99240	Well, what is nearly free-fall speed?
99240	103240	9-11 was an inside job.
103240	108240	9-11 was an inside job.
108240	111240	Oh God, let's move on.
111240	116240	OK, so what is your best piece of evidence to support your theory?
116240	120240	9-11 was an inside job.
120240	122240	Yes, I think we've got that message.
122240	123240	But what is your...
123240	126240	World Trade Center Seven.
126240	127240	What about it?
127240	132240	No steel structure has ever collapsed through fire.
132240	134240	Well, that's simply not true, is it?
134240	140240	Operation Northwood, Bay of Pigs, Pearl Harbor.
140240	142240	What? Can you explain?
142240	147240	9-11 was an inside job.
147240	149240	Oh God.
149240	151240	So what about the Pentagon?
151240	153240	The hole's too small.
153240	156240	I said the hole's too small.
156240	160240	The hole is too small.
160240	162240	What on earth are you talking about?
162240	164240	How big was the hole?
164240	167240	17 feet, diametrically speaking.
167240	169240	And are you sure about that?
169240	175240	Look, I don't want your mercury-laden, cancer-laden photograph.
175240	176240	Yeah, enough, enough.
176240	179240	Thanks for your help, Delantine, to...
179240	180240	9-11!
180240	182240	Shut up.
182240	184240	We can't just let him upload it.
184240	188240	Because, I mean, you know, it's like there's no hotline or anything that can do anything about this.
188240	190240	I mean, the police wouldn't come.
190240	194240	They wouldn't understand the implications and the dangers of posting a video like that.
194240	196240	They wouldn't understand that it's dangerous.
196240	198240	We don't want to alarm him. I mean, he's on Skype.
198240	200240	He can hear everything we're saying.
200240	202240	Nick, you doing alright? Yeah?
202240	203240	You doing alright, hey?
203240	205240	Niz? Can you hear us?
205240	206240	Yeah.
206240	208240	Why are you talking to me?
208240	209240	I'm just a hot dog.
209240	210240	No.
210240	211240	No one even likes hot dogs.
