start	end	text
0	6000	Homeopathy may be the most controversial, but also the most popular alternative medicine.
6000	12000	While some argue against it, others swear by its great power and effectiveness.
12000	20000	How does homeopathy work? How did it become what it is today, and what can modern medicine learn from it?
30000	34000	The first principle of homeopathy is like cures like.
34000	38000	Remedies use ingredients that cause the symptoms you want to cure.
38000	46000	In practice, that means that remedies against fever could, for example, be made from belladonna, which also causes fever.
46000	51000	A mixture based from bee venom is used to treat itchy swellings, and so on.
51000	55000	The second principle is a special method of preparation called potentization.
55000	62000	The idea is that diluting and agitating the ingredients activates their curative powers and enhances their effect.
62000	66000	To do this, the ingredient is dissolved in alcohol or distilled water.
66000	75000	Homeopaths take one part of the solution and mix it with nine parts of water, diluting it down to one tenth of its original concentration and shaking it.
75000	83000	What you have now is a 1X potency, one part ingredient and nine parts solvent, named after the Roman numeral X for ten.
83000	90000	Now this process is repeated. Take one part, mix it with nine parts of pure water and shake it vigorously.
90000	96000	Now you have 2X. You do this again and again until you reach the desired grade of potency.
96000	102000	The finished remedy is then taken orally or sometimes it's applied as little sugar pellets that are sold as globulae.
102000	109000	A 20X potency, for example, is like dissolving one aspirin pill in the water volume of the whole Atlantic.
109000	113000	But many are much more extreme like 30C, for example.
113000	117000	C means that the mixture has one part ingredient and 99 parts water.
117000	127000	So the commonly sold 30C mixture means one part ingredient and one million billion billion billion billion billion billion parts of water.
127000	135000	If we wanted a globulae pill with a single atom of the original ingredient, then our pill would be the diameter of the distance between the Earth and the Sun.
136000	143000	150 million kilometers, a pill so massive that it would collapse into a black hole under its own mass.
143000	147000	Because of this, potentization is one of the biggest criticisms of homeopathy.
147000	155000	The extreme dilution is supposed to make the ingredients more potent, but on a physical level this doesn't really make sense.
155000	161000	Most homeopathic remedies are diluted so much that not a single atom of the active ingredient is left in them.
161000	171000	The explanation of why the mixtures still work is that shaking the mixture after every dilution leaves behind a spirit-like essence of the ingredient.
171000	175000	Basically, the idea is that water remembers what was put into it.
175000	185000	But if this were true, then every substance that ever met a drop of water would leave an essence behind and lead to unpredictable effects when it was accidentally ingested.
185000	192000	Think of all the stuff that lives and floats in the oceans. Every sip of water would be a supercharged homeopathic cocktail.
192000	196000	So how did homeopathy become the most successful alternative medicine?
198000	201000	In the 18th century, medicine was very different from today.
201000	205000	Treatments like bloodletting left the patient worse off than before.
205000	212000	So German physician Samuel Hahnemann wanted a non-invasive, natural way of healing and developed homeopathy.
